id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
aioz-network,61,AIOZ,AIOZ Network,1112921111.5153418000000000,,526623370.9376662821716109,6400505.9018813077232013,0.4731902068248318,-6.6007548252711478,0.5089257436748367,https://etherscan.io/token/0x626e8036deb333b408be468f951bdb42433cbf18
zcash,62,ZEC,Zcash,16328268.7500000000000000,21000000.0000000000000000,521381723.7098794447270744,61535952.8832486524024395,31.9312311484265253,-0.7999729022206825,32.7123919155678105,https://explorer.zcha.in/
mantra-dao,63,OM,MANTRA DAO,500205033.1781248500000000,888888888.0000000000000000,511379546.1805703805930025,12116490.1760608014568075,1.0223398651777785,0.4249331893503179,1.0445426747440968,https://etherscan.io/token/0x3593d125a4f7849a1b059e64f4517a86dd60c95d
conflux-network,64,CFX,Conflux,4329418766.8300000000000000,,511003686.4771739443713171,19910258.3995329894168236,0.1180305519050842,-3.7835154673475969,0.1223866205826413,http://www.confluxscan.io/
trueusd,65,TUSD,TrueUSD,495201532.6100000000000000,,495190284.2801653636052328,6033383.9412095063483239,0.9999772853493095,-0.0265301435380992,1.0003027967327547,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
decentraland,66,MANA,Decentraland,1908319865.3915880000000000,,489861744.9730220402203298,13369084.2546221612164012,0.2566979225322387,-2.1401048122096467,0.2663159686184670,https://etherscan.io/token/decentraland
chiliz,67,CHZ,Chiliz,8998016997.0000000000000000,,466888710.9109162621818924,14186348.8002389603084204,0.0518879560981692,-1.8745003255061872,0.0532456449097790,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
klaytn,68,KLAY,Klaytn,3798174959.3784050000000000,,459754130.0331256548424752,4855249.0848301169214297,0.1210460642151059,-1.0034178389702995,0.1240539914267410,https://scope.klaytn.com/blocks
mina,69,MINA,Mina,1141603476.8400393000000000,,446619761.8921645427417884,7106001.3710997985139401,0.3912214450576210,-1.4738066725187050,0.4010122703314570,https://minaexplorer.com/
raydium,70,RAY,Raydium,263575999.0369390000000000,,429590064.6425605581614921,14753020.0097780978766478,1.6298527415705837,2.0113819055445773,1.6878582751730597,https://explorer.solana.com/address/4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R
iota,71,IOTA,IOTA,3382607068.0000000000000000,,423605077.1071432610436624,3430671.5639911895735067,0.1252303529767068,-1.0224829314267356,0.1276444998918026,https://thetangle.org/
ftx-token,72,FTT,FTX Token,328895103.8132070000000000,,412031127.8078971532047738,9156661.4987863334601025,1.2527736747394893,-4.8536249525198467,1.3045771759203798,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
dexe,73,DEXE,DeXe,57103225.3406123900000000,98942301.0000000000000000,406049851.9376137346076131,449714.6362490239679989,7.1108041536285514,0.9529125710676584,7.2044497423774751,https://etherscan.io/token/0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6
pendle,74,PENDLE,Pendle,157604966.0871274000000000,,397403162.5481321005396534,4549892.8833031794708055,2.5215142162997524,-6.1614386072285891,2.6972348567821438,https://etherscan.io/token/0x808507121b80c02388fad14726482e061b8da827
oasis-network,75,ROSE,Oasis,6713599876.0000000000000000,,394132258.6465743968001380,5210526.7723939838070136,0.0587065458064505,-3.1186088726619237,0.0612515111607820,https://www.oasisscan.com/
gnosis-gno,76,GNO,Gnosis,2589588.0000000000000000,3000000.0000000000000000,387152651.6982363666841632,10837941.0008958775162053,149.5035703356041064,-4.5367796888154718,155.2105176856748615,https://etherscan.io/token/Gnosis
theta-fuel,77,TFUEL,Theta Fuel,6639406853.0000000000000000,,352414644.9739511708942555,1895469.1685153648705639,0.0530792362595935,0.5821461936819428,0.0548798243284864,https://explorer.thetatoken.org/
pancakeswap,78,CAKE,PancakeSwap,235767549.0705751800000000,450000000.0000000000000000,350152136.0159373591078430,8560885.0709754914986037,1.4851583154521492,-0.3391802309128326,1.5146399577013869,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
trust-wallet-token,79,TWT,Trust Wallet Token,416649900.0000000000000000,,346874698.0545548157494100,2585668.2585907617116587,0.8325327764498559,-2.4102834925085454,0.8650973649453486,https://explorer.binance.org/asset/TWT-8C2
livepeer,80,LPT,Livepeer,33769134.6410899500000000,,342967847.8821272447702021,8316567.6270471990580135,10.1562521967858587,-5.0279610603692992,10.6166403744521284,https://explorer.livepeer.org/
nervos-network,81,CKB,Nervos Network,44700247655.2363500000000000,,338613102.4446655259386493,10019258.9606094037581045,0.0075751952216533,-1.7338751560616081,0.0077602036711195,https://explorer.nervos.org/
nxm,82,NXM,NXM,6594067.8412913900000000,,331197942.1191808569331039,168495.8126396008667592,50.2266506943184046,-5.2574897110291980,52.6680424519859334,https://etherscan.io/token/0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b
kava,83,KAVA,Kava,1082854949.0000000000000000,,324684720.6693345892020538,2812103.2665999532023976,0.2998413785421362,-0.3888841264831790,0.3049730389534378,https://www.mintscan.io/kava
1inch,84,1INCH,1inch Network,1255260664.9598281000000000,,320262773.3498410004922207,12199741.4679071930246154,0.2551364686952015,-3.5851950887412559,0.2647956143570902,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
compound,85,COMP,Compound,8376911.0064734400000000,,316813932.6389831424444280,14464660.5802991131352669,37.8198995302872732,-2.9305189083872469,39.6956809168178032,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
xinfin-network,86,XDC,XinFin Network,12293293518.5500000000000000,,301893596.4325431665441834,1049398.0739352935982048,0.0245575846681770,-0.2401232867153657,0.0248839407333812,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
wemix,87,WEMIX,WEMIX,408876203.1127984500000000,590000000.0000000000000000,301796578.3029859638033382,1577007.7593593534258933,0.7381123577390686,-1.3508138418309784,0.7550483913700998,https://scope.klaytn.com/token/0x5096db80b21ef45230c9e423c373f1fc9c0198dd?tabId=kctTransfer
iotex,88,IOTX,IoTeX,9441378929.0000000000000000,10000000000.0000000000000000,299221879.8085835806066591,4854449.7084479095820510,0.0316926035972879,-3.6523654042288666,0.0333296354580163,https://etherscan.io/token/0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
synthetix-network-token,89,SNX,Synthetix,233716733.4900000000000000,212424133.0000000000000000,295782830.0759541704901250,13081534.4014967970718848,1.2655612016270533,-2.4163648452869645,1.3063480908015740,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
curve-dao-token,90,CRV,Curve DAO Token,1167632070.0000000000000000,,271187500.7528142679877610,17474663.1386564891124082,0.2322542414862023,0.1297912941451940,0.2336533027158290,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
golem-network-tokens,91,GLM,Golem,1000000000.0000000000000000,,266780291.1597839000000000,203695.3541122467702141,0.2667802911597839,-1.0912876065573822,0.2737213800628946,https://etherscan.io/token/Golem
dash,92,DASH,Dash,11909247.9931550800000000,18900000.0000000000000000,265121285.7260300665460350,16241692.4575166343909751,22.2617990555247737,-1.8659321404912378,22.6934020186362085,https://explorer.dash.org
wootrade,93,WOO,WOO,1918013219.2501478000000000,,259927239.0174847365982473,12238630.5135155016497581,0.1355190028977506,-1.8202865634951994,0.1391226888546528,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
aelf,94,ELF,aelf,732045363.2841900000000000,1000000000.0000000000000000,257701537.5451718004653886,9263343.6839990982177214,0.3520294649351239,1.8241360787471627,0.3574447786060058,https://etherscan.io/token/0xbf2179859fc6D5BEE9Bf9158632Dc51678a4100e
just,95,JST,JUST,9900000000.0000000000000000,9900000000.0000000000000000,251810131.9747582800000000,4647139.5846288269065245,0.0254353668661372,-0.2747129994604777,0.0255996966868763,https://tronscan.org/#/token20/TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9
kusama,96,KSM,Kusama,15303336.1916308900000000,,249747791.8050930844784324,10919065.1712422265828116,16.3198265187218136,-4.9834834351762843,16.9973363366800956,https://kusama.subscan.io/
siacoin,97,SC,Siacoin,57740361722.8284000000000000,,241625356.9928097407403137,1563806.4423684099359391,0.0041846872756476,0.5598252532896639,0.0042272945756914,http://explore.sia.tech/
zilliqa,98,ZIL,Zilliqa,18704789775.0079500000000000,,239249255.9618783985711940,5872579.2547770078220206,0.0127908016523953,-1.4668883159194468,0.0131637707700900,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
ankr,99,ANKR,Ankr,10000000000.0000000000000000,,237457696.6404110000000000,4194578.6170413088998573,0.0237457696640411,-2.6811689335552152,0.0244931975562694,https://etherscan.io/token/0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4
0x,100,ZRX,0x Protocol,847496054.8027713000000000,1000000000.0000000000000000,237147646.8206907347319459,11091322.4581770304785246,0.2798215348340230,1.0223241649950957,0.2870991017691074,https://etherscan.io/token/ZRX
